Date,HPI,Price,Immigrants,Mortgage Rate
2005-01,100.0,221100,18812.666666666668,5.6
2005-02,100.6,222500,18812.666666666668,5.59
2005-03,101.4,224200,18812.666666666668,5.6
2005-04,102.2,225900,24823.666666666668,5.67
2005-05,102.8,227400,24823.666666666668,5.55
2005-06,103.8,229600,24823.666666666668,5.31
2005-07,105.1,232400,25315.0,5.26
2005-08,106.5,235400,25315.0,5.32
2005-09,107.9,238500,25315.0,5.3
2005-10,109.4,241900,18462.0,5.39
2005-11,111.0,245400,18462.0,5.56
2005-12,112.4,248500,18462.0,5.6
2006-01,114.1,252200,18378.0,5.65
2006-02,115.6,255600,18378.0,5.75
2006-03,117.2,259100,18378.0,5.78
2006-04,119.0,263000,22636.33333333333,5.88
2006-05,120.7,266900,22636.33333333333,6.05
2006-06,122.4,270700,22636.33333333333,6.12
2006-07,124.1,274300,23452.0,6.26
2006-08,125.6,277800,23452.0,6.24
2006-09,127.2,281200,23452.0,6.13
2006-10,128.3,283700,19415.0,6.01
2006-11,129.5,286300,19415.0,5.99
2006-12,130.9,289400,19415.0,5.89
2007-01,132.3,292600,15958.333333333334,5.91
2007-02,134.1,296500,15958.333333333334,6.0
2007-03,135.7,300100,15958.333333333334,5.91
2007-04,137.3,303500,20549.666666666668,5.92
2007-05,139.1,307600,20549.666666666668,6.01
2007-06,140.7,311100,20549.666666666668,6.51
2007-07,142.1,314200,23885.666666666668,6.6
2007-08,143.3,316800,23885.666666666668,6.62
2007-09,144.5,319400,23885.666666666668,6.61
2007-10,145.6,321900,18524.33333333333,6.69
2007-11,146.6,324200,18524.33333333333,6.73
2007-12,147.8,326800,18524.33333333333,6.75
2008-01,148.6,328500,17715.0,6.81
2008-02,148.9,329200,17715.0,6.72
2008-03,148.9,329300,17715.0,6.6
2008-04,148.4,328200,23082.33333333333,6.4
2008-05,147.6,326300,23082.33333333333,6.21
2008-06,146.8,324500,23082.33333333333,6.2
2008-07,145.7,322200,23770.666666666668,6.37
2008-08,144.8,320200,23770.666666666668,6.25
2008-09,144.0,318400,23770.666666666668,6.16
2008-10,142.2,314400,17847.666666666668,6.46
2008-11,140.7,311100,17847.666666666668,6.51
2008-12,138.9,307200,17847.666666666668,6.17
2009-01,137.4,303900,16927.666666666668,5.78
2009-02,136.3,301300,16927.666666666668,5.28
2009-03,135.4,299400,16927.666666666668,5.14
2009-04,136.0,300700,23217.0,4.79
2009-05,137.0,303000,23217.0,4.62
2009-06,138.8,306800,23217.0,4.9
2009-07,140.8,311200,25130.0,5.14
2009-08,142.8,315700,25130.0,5.13
2009-09,145.0,320500,25130.0,4.97
2009-10,147.1,325200,18784.33333333333,5.0
2009-11,149.1,329600,18784.33333333333,5.06
2009-12,150.7,333300,18784.33333333333,4.83
2010-01,152.0,336100,19347.0,4.8
2010-02,153.0,338300,19347.0,4.73
2010-03,153.8,340000,19347.0,4.71
2010-04,154.0,340500,26932.33333333333,5.15
2010-05,153.9,340300,26932.33333333333,5.3
2010-06,153.4,339100,26932.33333333333,5.18
2010-07,153.0,338300,28097.33333333333,5.02
2010-08,152.9,338000,28097.33333333333,4.82
2010-09,153.0,338200,28097.33333333333,4.6
2010-10,153.5,339300,19184.0,4.52
2010-11,154.3,341100,19184.0,4.45
2010-12,155.0,342800,19184.0,4.5
2011-01,156.2,345300,16523.333333333332,4.55
2011-02,157.4,348100,16523.333333333332,4.68
2011-03,158.7,350800,16523.333333333332,4.7
2011-04,159.7,353100,22565.33333333333,4.87
2011-05,160.9,355700,22565.33333333333,4.83
2011-06,162.1,358400,22565.33333333333,4.6
2011-07,163.3,361000,23954.666666666668,4.57
2011-08,164.4,363400,23954.666666666668,4.52
2011-09,165.2,365200,23954.666666666668,4.42
2011-10,166.0,367000,19867.666666666668,4.35
2011-11,166.8,368900,19867.666666666668,4.38
2011-12,167.7,370700,19867.666666666668,4.36
2012-01,168.5,372600,18521.0,4.31
2012-02,169.2,374000,18521.0,4.23
2012-03,169.8,375400,18521.0,4.21
2012-04,170.3,376600,24335.33333333333,4.36
2012-05,170.4,376700,24335.33333333333,4.35
2012-06,170.2,376400,24335.33333333333,4.25
2012-07,170.1,376100,22300.666666666668,4.23
2012-08,169.9,375600,22300.666666666668,4.23
2012-09,169.8,375500,22300.666666666668,4.2
2012-10,169.7,375300,20779.33333333333,4.17
2012-11,169.6,375000,20779.33333333333,4.15
2012-12,170.1,376100,20779.33333333333,4.15
2013-01,170.0,375900,19417.666666666668,4.14
2013-02,170.5,376900,19417.666666666668,4.11
2013-03,170.7,377400,19417.666666666668,4.02
2013-04,171.1,378300,25202.666666666668,4.02
2013-05,171.5,379100,25202.666666666668,4.02
2013-06,172.0,380400,25202.666666666668,4.0
2013-07,172.9,382200,21802.0,4.08
2013-08,173.8,384200,21802.0,4.14
2013-09,174.8,386500,21802.0,4.33
2013-10,175.9,388900,19923.666666666668,4.4
2013-11,176.8,391000,19923.666666666668,4.39
2013-12,177.7,392900,19923.666666666668,4.39
2014-01,178.6,394900,21486.0,4.38
2014-02,179.1,396100,21486.0,4.32
2014-03,179.5,396800,21486.0,4.16
2014-04,179.9,397800,26096.33333333333,4.02
2014-05,180.5,399100,26096.33333333333,4.02
2014-06,181.4,401000,26096.33333333333,4.0
2014-07,182.1,402700,21847.33333333333,4.01
2014-08,183.2,405000,21847.33333333333,4.01
2014-09,184.4,407600,21847.33333333333,4.02
2014-10,185.7,410600,17335.666666666668,4.0
2014-11,187.2,413800,17335.666666666668,4.0
2014-12,188.3,416300,17335.666666666668,3.98
2015-01,189.1,418000,17041.0,3.96
2015-02,189.7,419400,17041.0,3.91
2015-03,190.8,421800,17041.0,3.84
2015-04,191.9,424400,24030.33333333333,3.76
2015-05,193.4,427500,24030.33333333333,3.74
2015-06,195.4,432000,24030.33333333333,3.72
2015-07,197.5,436700,26300.666666666668,3.71
2015-08,199.8,441800,26300.666666666668,3.71
2015-09,201.9,446500,26300.666666666668,3.71
2015-10,204.0,451100,23247.0,3.72
2015-11,206.2,455900,23247.0,3.72
2015-12,208.3,460500,23247.0,3.75
2016-01,210.9,466400,28749.0,3.76
2016-02,213.9,473000,28749.0,3.75
2016-03,217.0,479700,28749.0,3.73
2016-04,220.7,487900,29434.0,3.7
2016-05,224.9,497300,29434.0,3.67
2016-06,228.8,505900,29434.0,3.66
2016-07,232.3,513700,22747.33333333333,3.67
2016-08,234.6,518800,22747.33333333333,3.68
2016-09,236.8,523500,22747.33333333333,3.67
2016-10,238.0,526300,17871.333333333332,3.68
2016-11,239.8,530100,17871.333333333332,3.7
2016-12,241.2,533300,17871.333333333332,3.74
2017-01,244.8,541200,24279.666666666668,3.73
2017-02,250.2,553300,24279.666666666668,3.75
2017-03,256.6,567300,24279.666666666668,3.66
2017-04,259.5,573700,26004.0,3.62
2017-05,258.6,571700,26004.0,3.59
2017-06,256.5,567200,26004.0,3.6
2017-07,254.3,562200,23369.666666666668,3.72
2017-08,253.1,559700,23369.666666666668,3.82
2017-09,253.2,559800,23369.666666666668,3.89
2017-10,253.7,560900,21843.33333333333,3.98
2017-11,254.5,562600,21843.33333333333,4.04
2017-12,254.8,563400,21843.33333333333,4.07
2018-01,254.2,562000,26669.0,4.14
2018-02,252.9,559100,26669.0,4.26
2018-03,251.8,556800,26669.0,4.27
2018-04,251.0,555000,29226.33333333333,4.27
2018-05,250.6,554000,29226.33333333333,4.35
2018-06,250.4,553700,29226.33333333333,4.32
2018-07,250.5,553900,27427.666666666668,4.42
2018-08,250.3,553500,27427.666666666668,4.43
2018-09,249.8,552200,27427.666666666668,4.43
2018-10,249.6,551800,23693.33333333333,4.48
2018-11,248.1,548500,23693.33333333333,4.38
2018-12,246.6,545200,23693.33333333333,4.59
2019-01,243.9,539300,21985.666666666668,4.59
2019-02,240.9,532600,21985.666666666668,4.52
2019-03,239.0,528500,21985.666666666668,4.44
2019-04,239.0,528500,31427.0,4.33
2019-05,239.5,529500,31427.0,4.3
2019-06,240.8,532300,31427.0,4.23
2019-07,242.2,535400,34573.0,4.14
2019-08,243.4,538200,34573.0,4.08
2019-09,245.0,541800,34573.0,4.07
2019-10,246.4,544900,25745.0,4.09
2019-11,247.4,547000,25745.0,4.09
2019-12,248.0,548400,25745.0,4.08
2020-01,248.5,549500,23044.33333333333,4.08
2020-02,249.3,551200,23044.33333333333,4.08
2020-03,249.1,550700,23044.33333333333,3.9
2020-04,246.1,544200,11356.666666666666,3.95
2020-05,248.2,548800,11356.666666666666,3.86
2020-06,252.6,558400,11356.666666666666,3.77
2020-07,259.2,573200,13372.0,3.64
2020-08,265.5,587000,13372.0,3.57
2020-09,270.0,596900,13372.0,3.51
2020-10,273.0,603600,13755.666666666666,3.45
2020-11,276.0,610200,13755.666666666666,3.42
2020-12,279.2,617300,13755.666666666666,3.34
2021-01,284.3,628600,23495.666666666668,3.3
2021-02,291.0,643500,23495.666666666668,3.25
2021-03,298.3,659600,23495.666666666668,3.26
2021-04,304.5,673300,24812.666666666668,3.25
2021-05,310.4,686300,24812.666666666668,3.25
2021-06,316.4,699600,24812.666666666668,3.26
2021-07,321.1,709900,40970.333333333336,3.2
2021-08,326.5,721900,40970.333333333336,3.2
2021-09,333.9,738200,40970.333333333336,3.22
2021-10,343.5,759500,46063.333333333336,3.29
2021-11,351.4,777000,46063.333333333336,3.4
2021-12,357.5,790400,46063.333333333336,3.45
