,Date,Mortgage Rate
648,2005-01,5.6
649,2005-02,5.59
650,2005-03,5.6
651,2005-04,5.67
652,2005-05,5.55
653,2005-06,5.31
654,2005-07,5.26
655,2005-08,5.32
656,2005-09,5.3
657,2005-10,5.39
658,2005-11,5.56
659,2005-12,5.6
660,2006-01,5.65
661,2006-02,5.75
662,2006-03,5.78
663,2006-04,5.88
664,2006-05,6.05
665,2006-06,6.12
666,2006-07,6.26
667,2006-08,6.24
668,2006-09,6.13
669,2006-10,6.01
670,2006-11,5.99
671,2006-12,5.89
672,2007-01,5.91
673,2007-02,6.0
674,2007-03,5.91
675,2007-04,5.92
676,2007-05,6.01
677,2007-06,6.51
678,2007-07,6.6
679,2007-08,6.62
680,2007-09,6.61
681,2007-10,6.69
682,2007-11,6.73
683,2007-12,6.75
684,2008-01,6.81
685,2008-02,6.72
686,2008-03,6.6
687,2008-04,6.4
688,2008-05,6.21
689,2008-06,6.2
690,2008-07,6.37
691,2008-08,6.25
692,2008-09,6.16
693,2008-10,6.46
694,2008-11,6.51
695,2008-12,6.17
696,2009-01,5.78
697,2009-02,5.28
698,2009-03,5.14
699,2009-04,4.79
700,2009-05,4.62
701,2009-06,4.9
702,2009-07,5.14
703,2009-08,5.13
704,2009-09,4.97
705,2009-10,5.0
706,2009-11,5.06
707,2009-12,4.83
708,2010-01,4.8
709,2010-02,4.73
710,2010-03,4.71
711,2010-04,5.15
712,2010-05,5.3
713,2010-06,5.18
714,2010-07,5.02
715,2010-08,4.82
716,2010-09,4.6
717,2010-10,4.52
718,2010-11,4.45
719,2010-12,4.5
720,2011-01,4.55
721,2011-02,4.68
722,2011-03,4.7
723,2011-04,4.87
724,2011-05,4.83
725,2011-06,4.6
726,2011-07,4.57
727,2011-08,4.52
728,2011-09,4.42
729,2011-10,4.35
730,2011-11,4.38
731,2011-12,4.36
732,2012-01,4.31
733,2012-02,4.23
734,2012-03,4.21
735,2012-04,4.36
736,2012-05,4.35
737,2012-06,4.25
738,2012-07,4.23
739,2012-08,4.23
740,2012-09,4.2
741,2012-10,4.17
742,2012-11,4.15
743,2012-12,4.15
744,2013-01,4.14
745,2013-02,4.11
746,2013-03,4.02
747,2013-04,4.02
748,2013-05,4.02
749,2013-06,4.0
750,2013-07,4.08
751,2013-08,4.14
752,2013-09,4.33
753,2013-10,4.4
754,2013-11,4.39
755,2013-12,4.39
756,2014-01,4.38
757,2014-02,4.32
758,2014-03,4.16
759,2014-04,4.02
760,2014-05,4.02
761,2014-06,4.0
762,2014-07,4.01
763,2014-08,4.01
764,2014-09,4.02
765,2014-10,4.0
766,2014-11,4.0
767,2014-12,3.98
768,2015-01,3.96
769,2015-02,3.91
770,2015-03,3.84
771,2015-04,3.76
772,2015-05,3.74
773,2015-06,3.72
774,2015-07,3.71
775,2015-08,3.71
776,2015-09,3.71
777,2015-10,3.72
778,2015-11,3.72
779,2015-12,3.75
780,2016-01,3.76
781,2016-02,3.75
782,2016-03,3.73
783,2016-04,3.7
784,2016-05,3.67
785,2016-06,3.66
786,2016-07,3.67
787,2016-08,3.68
788,2016-09,3.67
789,2016-10,3.68
790,2016-11,3.7
791,2016-12,3.74
792,2017-01,3.73
793,2017-02,3.75
794,2017-03,3.66
795,2017-04,3.62
796,2017-05,3.59
797,2017-06,3.6
798,2017-07,3.72
799,2017-08,3.82
800,2017-09,3.89
801,2017-10,3.98
802,2017-11,4.04
803,2017-12,4.07
804,2018-01,4.14
805,2018-02,4.26
806,2018-03,4.27
807,2018-04,4.27
808,2018-05,4.35
809,2018-06,4.32
810,2018-07,4.42
811,2018-08,4.43
812,2018-09,4.43
813,2018-10,4.48
814,2018-11,4.38
815,2018-12,4.59
816,2019-01,4.59
817,2019-02,4.52
818,2019-03,4.44
819,2019-04,4.33
820,2019-05,4.3
821,2019-06,4.23
822,2019-07,4.14
823,2019-08,4.08
824,2019-09,4.07
825,2019-10,4.09
826,2019-11,4.09
827,2019-12,4.08
828,2020-01,4.08
829,2020-02,4.08
830,2020-03,3.9
831,2020-04,3.95
832,2020-05,3.86
833,2020-06,3.77
834,2020-07,3.64
835,2020-08,3.57
836,2020-09,3.51
837,2020-10,3.45
838,2020-11,3.42
839,2020-12,3.34
840,2021-01,3.3
841,2021-02,3.25
842,2021-03,3.26
843,2021-04,3.25
844,2021-05,3.25
845,2021-06,3.26
846,2021-07,3.2
847,2021-08,3.2
848,2021-09,3.22
849,2021-10,3.29
850,2021-11,3.4
851,2021-12,3.45
